,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,XTZ-USD,2.665586555828141,7.0
1,SNX-USD,ICP-USD,0.48149312310294623,15.0
2,SNX-USD,ETC-USD,0.13215374543965425,3.0
3,SNX-USD,ZEC-USD,0.0733410762910715,8.0
4,SNX-USD,MKR-USD,0.003785146627150414,9.0
5,SNX-USD,ATOM-USD,0.22649599029542572,5.0
6,SNX-USD,BCH-USD,0.020940022848512145,4.0
7,SNX-USD,ZRX-USD,10.745003197326868,5.0
8,SNX-USD,YFI-USD,0.0003644006748052424,5.0
9,SNX-USD,COMP-USD,0.06765880203303942,9.0
10,SNX-USD,XLM-USD,26.929144668038802,12.0
11,SNX-USD,EOS-USD,2.7247179317093515,11.0
12,SNX-USD,NEAR-USD,1.4814706377341134,5.0
13,SNX-USD,ALGO-USD,15.319386962207744,14.0
14,SNX-USD,XMR-USD,0.01588188839799917,4.0
15,SNX-USD,SUSHI-USD,2.747932508564128,7.0
16,SNX-USD,UMA-USD,1.1742013797125535,12.0
17,SNX-USD,BTC-USD,8.860182132420585e-05,5.0
18,SNX-USD,DOT-USD,0.44913856319973466,5.0
19,SNX-USD,CRV-USD,2.8596501603626003,3.0
20,SNX-USD,SOL-USD,0.11821718357351264,14.0
21,SNX-USD,DOGE-USD,33.106137829263155,4.0
22,SNX-USD,LTC-USD,0.026429259522024656,11.0
23,SNX-USD,AAVE-USD,0.03691063728668441,6.0
24,SNX-USD,UNI-USD,0.46869274110909187,8.0
25,SNX-USD,MATIC-USD,2.6886769058423123,12.0
26,SNX-USD,1INCH-USD,6.08787139904479,5.0
27,SNX-USD,AVAX-USD,0.16557046997859132,4.0
28,SNX-USD,ETH-USD,0.0012999155750669294,10.0
